bed,bath,acre_lot,city,house_size,price
2.0,2.0,5.46,Hebron,2081.0,399500.0
1.0,2.0,0.56,Meriden,758.0,250000.0
3.0,1.0,0.29,Groton,1008.0,252000.0
4.0,2.0,0.31,Vernon,1576.0,193500.0
3.0,3.0,0.85,Meredith,2153.0,975000.0
1.0,1.0,0.01,Boston,585.0,780000.0
4.0,4.0,2.05,Redding,4178.0,1350000.0
2.0,2.0,0.23,Stratford,1128.0,304900.0
5.0,2.0,0.61,Woodstock,3488.0,1299500.0
3.0,2.0,0.73,Enfield,972.0,224000.0
1.0,1.0,0.2,Johnston,1112.0,249000.0
3.0,3.0,0.23,Methuen,2228.0,669900.0
3.0,2.0,1.84,Smithfield,2000.0,569000.0
3.0,1.0,0.16,East Haven,1258.0,265000.0
3.0,2.0,0.21,New Britain,1374.0,210000.0
3.0,3.0,2.9,Monson,2700.0,799900.0
4.0,2.0,0.35,Isle La Motte,2016.0,205000.0
3.0,1.0,0.26,Killingly,1310.0,259000.0
3.0,2.0,0.16,Danbury,1808.0,999900.0
4.0,2.0,0.17,West Haven,1456.0,389900.0
3.0,2.0,0.12,Woburn,1656.0,699000.0
2.0,1.0,0.11,Worcester,908.0,324900.0
3.0,3.0,1.8,Milton,2517.0,725000.0
4.0,2.0,0.15,Providence,1028.0,349900.0
2.0,2.0,0.03,Boston,1296.0,741500.0
5.0,4.0,0.77,Chelmsford,2996.0,749900.0
4.0,4.0,3.72,Redding,3043.0,849000.0
2.0,1.0,2.48,Marlborough,1338.0,289900.0
3.0,1.0,0.21,Dudley,1008.0,324900.0
3.0,2.0,0.62,Seymour,1852.0,325000.0
2.0,3.0,0.11,Clinton,1916.0,1100000.0
3.0,3.0,0.63,Portsmouth,2913.0,1049000.0
3.0,1.0,0.24,Cumberland,1577.0,360000.0
4.0,2.0,58.78,Meredith,1994.0,949900.0
6.0,7.0,0.49,Fairfield,5247.0,1749000.0
5.0,4.0,1.0,Monroe,3892.0,759000.0
10.0,5.0,3.97,Dover,5200.0,849000.0
4.0,3.0,0.35,Haverhill,3284.0,579900.0
3.0,2.0,0.15,Waterbury,1229.0,239900.0
3.0,1.0,0.06,New Haven,1026.0,239000.0
3.0,3.0,0.95,Middlebury,1944.0,439900.0
4.0,2.0,0.08,Ware,1884.0,169900.0
4.0,4.0,0.23,Providence,3758.0,1065000.0
4.0,2.0,0.28,Hampden,1740.0,239000.0
5.0,5.0,5.99,Roxbury,3896.0,3500000.0
4.0,3.0,0.59,Bristol,2976.0,399900.0
4.0,4.0,10.29,Lyme,5188.0,1260000.0
4.0,1.0,0.18,Northbridge,1673.0,320000.0
3.0,3.0,0.08,Milford,2000.0,899900.0
3.0,3.0,1.5,Lincoln,1755.0,649900.0
6.0,4.0,0.09,Providence,3600.0,489000.0
